original,updated
idlistino,id
codice,code
codice2,code_2
codicebarre,bar_code
descrizione,description
note,notes
modello,model
fornitore,provider
codice_fornitore,provider_code
fornitore_ordine,provider_order
codice_fornitore_ordine,provider_order_code
listino,list
costo,cost
prezzo,price
prezzo_scontato,discounted_price
iva,vat
um,um
categoria,category
webgallery,webgallery
misure,measures
lunghezza,lenght
larghezza,wide
altezza,height
volume,volume
peso_unit,unit_weight
peso_unit_netto,unit_net_weight
peso_imballo,package_weight
taglia,size
diametro,diameter
capacita,capacity
note_disponibilita,availability_notes
data_scadenza,expire_date
data_ultima_mod,updated_date
art_area_codice,art_area_code
art_area,art_area
art_categoria_codice,art_category_code
art_categoria,art_category
art_sottocategoria_codice,art_subcategory_code
art_sottocategoria,art_subcategory
stile,style
caratteristiche,features
immagini,images
