original,updated
idlistino,idlistino
codice,codice
codice2,codice2
codicebarre,codicebarre
descrizione,descrizione
note,note
modello,modello
fornitore,fornitore
codice_fornitore,codice_fornitore
fornitore_ordine,fornitore_ordine
codice_fornitore_ordine,codice_fornitore_ordine
listino,listino
costo,costo
prezzo,prezzo
prezzo_scontato,prezzo_scontato
iva,iva
um,um
categoria,categoria
webgallery,webgallery
misure,misure
lunghezza,lunghezza
larghezza,larghezza
altezza,altezza
volume,volume
peso_unit,peso_unit
peso_unit_netto,peso_unit_netto
peso_imballo,peso_imballo
taglia,taglia
diametro,diametro
capacita,capacita
note_disponibilita,note_disponibilita
data_scadenza,data_scadenza
data_ultima_mod,data_ultima_mod
art_area_codice,art_area_codice
art_area,art_area
art_categoria_codice,art_categoria_codice
art_categoria,art_categoria
art_sottocategoria_codice,art_sottocategoria_codice
art_sottocategoria,art_sottocategoria
stile,stile
caratteristiche,caratteristiche
immagini,immagini
