id,code,code_2,bar_code,description,notes,model,provider,provider_code,provider_order,provider_order_code,list,cost,price,discounted_price,vat,um,category,webgallery,measures,lenght,wide,height,volume,unit_weight,unit_net_weight,package_weight,size,diameter,capacity,availability_notes,expire_date,updated_date,art_area_code,art_area,art_category_code,art_category,art_subcategory_code,art_subcategory,style,features,images,lol,test,ciaone
4986,20907471,0,8051836126978,"tavolo cm.200x90",POLVEND1,WOODEN,"ANDREA BIZZOTTO SPA",BIZZ04,"ANDREA BIZZOTTO SPA",BIZZ04,573.35.00,288.8,573.35.00,573.35.00,22,,Stock,1,,0,0,0,0,0,0,0,,0,0,,3000-12-30T00:00:00,2023-04-17T16:36:46.823,1,SOGGIORNI,41,"Tavoli Fissi",,,FUSION,,Array,ciao,resr,okee
9642,22457998,88,96423,"cucina web codice da non usare",POLVEND3,CELINE,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:21.02,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9646,22484840,88,96461,"02 cucina web codice da non usare",POLVEND3,CELINE_02,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:21.037,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9647,22484857,88,96478,"03 cucina web codice da non usare",POLVEND3,CELINE_03,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:21.053,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9648,22484864,88,96485,"04 cucina web codice da non usare",POLVEND3,CELINE_04,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:21.053,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9649,22484871,88,96492,"05 cucina web codice da non usare",POLVEND3,CELINE_05,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:21.07,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9657,22458018,88,96577,"cucina web codice da non usare",POLVEND3,CLAIRE,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:22.74,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9669,22484895,88,96690,"02 cucina web codice da non usare",POLVEND3,CLAIRE_02,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:22.927,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9670,22484901,88,96706,"03  cucina web codice da non usare",POLVEND3,CLAIRE_03,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:22.927,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9671,22484918,88,96713,"04 cucina web codice da non usare",POLVEND3,CLAIRE_04,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:22.943,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9672,22484925,88,96720,"05 cucina web codice da non usare",POLVEND3,CLAIRE_05,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:22.943,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9673,22484932,88,96737,"06 cucina web codice da non usare",POLVEND3,CLAIRE_06,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:22.943,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9694,22458001,88,96942,"cucina web codice da non usare",POLVEND3,GRACE,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:23.07,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9700,22484888,88,97000,"02 cucina web codice da non usare",POLVEND3,GRACE_02,"AXIS CUCINE SRL",AXIS01,"AXIS CUCINE SRL",AXIS01,245.9,100,245.9,245.9,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T10:08:23.1,4,CUCINE,17,"Composizioni fisse",,,BASIC,,Array,ciao,resr,okee
9718,22194510,88,97185,"web divano letto angolare c/penisola dx+contenitore l244x166 h88 marrone",POLVEND3,TOM,"COTTA COLLECTION AG",MCAA01,"COTTA COLLECTION AG",MCAA01,1138.52.00,578.16.00,1138.52.00,1138.52.00,22,,Riferimento,1,,0,0,0,0,0,0,0,,0,0,,3000-12-31T00:00:00,2023-04-18T11:11:10.337,2,"DIVANI E POLTRONE",13,"Divani modulari",,,BASIC,,Array,ciao,resr,okee
